rank,@title,start_xp,xp to next level,rank when not full,ranke when full,icon,xp_end,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17
maxrank,999,,,,,,,,,,,,,,,,
0,pfc1,0,7200,RANK_PFC,RANK_PFC_FULL,rank_so_pfc1,7200,,,,,,1,1,,RANK_PFC_FULL,
1,pfc2,7200,7500,RANK_PFC,RANK_PFC_FULL2,rank_so_pfc1,14700,,,,,,2,2,,RANK_PFC_FULL_N,
2,pfc3,14700,7800,RANK_PFC,RANK_PFC_FULL3,rank_so_pfc1,22500,,,,,,3,3,,RANK_PFC_FULL_N,
3,cpl1,22500,8100,RANK_CPL,RANK_CPL_FULL,rank_so_cpl1,30600,,,,,,4,4,,RANK_CPL_FULL,
4,cpl2,30600,8400,RANK_CPL,RANK_CPL_FULL2,rank_so_cpl1,39000,,,,,,5,5,,RANK_CPL_FULL_N,
5,cpl3,39000,8800,RANK_CPL,RANK_CPL_FULL3,rank_so_cpl1,47800,,,,,,6,6,,RANK_CPL_FULL_N,
6,sgt1,47800,9200,RANK_SGT,RANK_SGT_FULL,rank_so_sgt1,57000,,,,,,7,7,,RANK_SGT_FULL,
7,sgt2,57000,9600,RANK_SGT,RANK_SGT_FULL2,rank_so_sgt1,66600,,,,,,8,8,,RANK_SGT_FULL_N,
8,sgt3,66600,10000,RANK_SGT,RANK_SGT_FULL3,rank_so_sgt1,76600,,,,,,9,9,,RANK_SGT_FULL_N,
9,ssgt1,76600,10500,RANK_SSGT,RANK_SSGT_FULL,rank_so_ssgt1,87100,,,,,,10,10,,RANK_SSGT_FULL,
10,ssgt2,87100,11000,RANK_SSGT,RANK_SSGT_FULL2,rank_so_ssgt1,98100,,,,,,11,11,,RANK_SSGT_FULL_N,
11,ssgt3,98100,12300,RANK_SSGT,RANK_SSGT_FULL3,rank_so_ssgt1,110400,,,,,,12,12,,RANK_SSGT_FULL_N,
12,sfc1,110400,13600,RANK_SFC,RANK_SFC_FULL,rank_so_sfc1,124000,,,,,,13,13,,RANK_SFC_FULL,
13,sfc2,124000,14900,RANK_SFC,RANK_SFC_FULL2,rank_so_sfc1,138900,,,,,,14,14,,RANK_SFC_FULL_N,
14,sfc3,138900,16200,RANK_SFC,RANK_SFC_FULL3,rank_so_sfc1,155100,,,,,,15,15,,RANK_SFC_FULL_N,
15,msgt1,155100,17600,RANK_MSGT,RANK_MSGT_FULL,rank_so_msgt1,172700,,,,,,16,16,,RANK_MSGT_FULL,
16,msgt2,172700,19000,RANK_MSGT,RANK_MSGT_FULL2,rank_so_msgt1,191700,,,,,,17,17,,RANK_MSGT_FULL_N,
17,msgt3,191700,20500,RANK_MSGT,RANK_MSGT_FULL3,rank_so_msgt1,212200,,,,,,18,18,,RANK_MSGT_FULL_N,
18,1stsgt1,212200,22000,RANK_1STSGT,RANK_1STSGT_FULL,rank_so_1stsgt1,234200,,,,,,19,19,,RANK_1STSGT_FULL,
